(dk.dtu.pa.payment.Order.calcTotal() , dk.dtu.pa.payment.OrderDetail.price())
(dk.dtu.pa.App.TestConditionals() , dk.dtu.pa.Util.e())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.payment.Order.calcTotal())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.payment.Order.payOrder())
(dk.dtu.pa.payment.OrderDetail.<init>() , java.lang.Object.<init>())
(dk.dtu.pa.payment.Order.calcTotal() , dk.dtu.pa.payment.OrderDetail.<init>())
(dk.dtu.pa.payment.Order.payOrder() , dk.dtu.pa.payment.Payment.getAmount())
(dk.dtu.pa.App.TestConditionals() , dk.dtu.pa.Util.g())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.App.TestConditionals())
(dk.dtu.pa.payment.Cash.<init>() , java.lang.Object.<init>())
(dk.dtu.pa.payment.Order.payOrder() , dk.dtu.pa.payment.Order.calcTotal())
(dk.dtu.pa.App.TestConditionals() , dk.dtu.pa.Util.identity(int))
(dk.dtu.pa.payment.Cash.getAmount() , dk.dtu.pa.payment.Cash.getCashAmount())
(dk.dtu.pa.payment.Credit.getAmount() , dk.dtu.pa.payment.Credit.getCreditAmount())
(dk.dtu.pa.payment.Order.<init>() , java.lang.Object.<init>())
(dk.dtu.pa.App.TestConditionals() , dk.dtu.pa.Util.d())
(dk.dtu.pa.payment.Credit.<init>() , java.lang.Object.<init>())
(dk.dtu.pa.App.TestOperations() , dk.dtu.pa.Util.n())
(dk.dtu.pa.payment.Order.payOrder() , dk.dtu.pa.payment.Cash.<init>())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.payment.Order.<init>())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.App.TestOperations())
(dk.dtu.pa.App.TestConditionals() , dk.dtu.pa.Util.f())
(dk.dtu.pa.App.TestOperations() , dk.dtu.pa.Util.identity(int))
(dk.dtu.pa.payment.Customer.<init>() , java.lang.Object.<init>())
(dk.dtu.pa.payment.Order.payOrder() , dk.dtu.pa.payment.Credit.<init>())
(dk.dtu.pa.payment.Order.calcTotal() , dk.dtu.pa.Util.sum(int))
(dk.dtu.pa.App.TestConditionals() , dk.dtu.pa.Util.a())
(dk.dtu.pa.payment.Order.payOrder() , dk.dtu.pa.payment.Payment.pay())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.payment.Customer.getName())
(dk.dtu.pa.App.appMain() , dk.dtu.pa.payment.Customer.<init>())
